NIC statistics:
     RxExtendedVlanDiscardPkts: 0
     MtuExceedDiscardPkts: 0
     TxUnderSizeGoodPkts: 0
     TxOversizeGoodPkts: 0
     RxGoodPkts: 28
     RxUnicastPkts: 28
     RxBroadcastPkts: 0
     RxMulticastPkts: 0
     RxFCSErrorPkts: 0
     RxUnderSizeGoodPkts: 0
     RxOversizeGoodPkts: 0
     RxUnderSizeErrorPkts: 0
     RxGoodPausePkts: 0
     RxOversizeErrorPkts: 0
     RxAlignErrorPkts: 0
     RxFilteredPkts: 0
     Rx64BytePkts: 0
     Rx127BytePkts: 28
     Rx255BytePkts: 0
     Rx511BytePkts: 0
     Rx1023BytePkts: 0
     RxMaxBytePkts: 0
     TxGoodPkts: 6
     TxUnicastPkts: 0
     TxBroadcastPkts: 0
     TxMulticastPkts: 6
     TxSingleCollCount: 0
     TxMultCollCount: 0
     TxLateCollCount: 0
     TxExcessCollCount: 0
     TxCollCount: 0
     TxPauseCount: 0
     Tx64BytePkts: 0
     Tx127BytePkts: 4
     Tx255BytePkts: 2
     Tx511BytePkts: 0
     Tx1023BytePkts: 0
     TxMaxBytePkts: 0
     TxDroppedPkts: 0
     TxAcmDroppedPkts: 0
     RxDroppedPkts: 0
     RxGoodBytes: 2744
     RxBadBytes: 0
     TxGoodBytes: 652
     RxOverflowError: 0
